"time","battery","humidity","co2","temperature","pm10","sun"
2026-07-29 04:51:25,75.8,59.4,465,20,3.80,0
2026-07-29 05:06:20,75.8,59.6,471,19.7,3.60,0
2026-07-29 05:21:16,75.4,59.6,467,19.6,4,0
2026-07-29 05:36:11,75.1,59.7,460,19.4,3.20,0
2026-07-29 05:51:06,75.4,59.7,461,19.3,3.20,0
2026-07-29 06:06:04,74.8,59.2,455,19.3,3,1
2026-07-29 06:20:57,75.1,55.9,457,20.4,2.60,1
2026-07-29 06:35:53,75.8,48.4,452,22.8,2.90,1
2026-07-29 06:50:45,75.8,49.9,454,22.2,3.60,1
2026-07-29 07:05:40,75.4,51,447,22.5,3.20,1
2026-07-29 07:20:35,78.6,43.4,451,25.2,3.50,1
2026-07-29 07:35:30,81.6,38.1,447,28.6,3,1
2026-07-29 07:50:25,82.5,33,458,31.5,3.10,1
2026-07-29 08:05:21,83.6,27.4,456,35.1,3.10,1
2026-07-29 08:20:16,83.9,25.8,462,36.2,2.60,1
2026-07-29 08:35:10,84.7,23.8,464,38.7,3.30,1
2026-07-29 08:50:05,84.7,23,469,39.8,3.80,1
2026-07-29 09:05:00,85,24.4,463,37.5,3.40,1
2026-07-29 09:19:57,85.2,33.8,445,32.0,3.50,1
2026-07-29 09:34:52,83.3,41.1,438,27.7,4,1
2026-07-29 09:49:46,82.8,42.5,443,27.3,4,1
2026-07-29 10:04:42,81.1,42.9,424,27.0,3.50,1
2026-07-29 10:19:35,81.4,43.6,425,26.7,4.50,1
2026-07-29 10:34:29,82.5,44.6,425,26.5,3.80,1
